Table CS2: Consistent series of drug-related deaths - 'extra' deaths by sex and age: 2000 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,
                 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 Drug-related deaths: consistent series 1,,,293,339,388,330,365,346,430,474,591,570,512,609,606,559,624,710,873,937,"1,196","1,282","1,339",0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 Drug-related deaths: standard definition 2,,,292,332,382,317,356,336,421,455,574,545,485,584,581,527,614,706,868,934,"1,187","1,280","1,339",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 'Extra' deaths counted in the consistent series 3,,,1,7,6,13,9,10,9,19,17,25,27,25,25,32,10,4,5,3,9,2,0,,,
,of which:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,0,3,3,6,2,6,7,6,11,13,16,13,15,20,6,1,3,1,4,0,0,,,
,,Female,1,4,3,7,7,4,2,13,6,12,11,12,10,12,4,3,2,2,5,2,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,under 25,0,0,0,2,0,0,2,0,2,1,3,0,0,3,1,0,0,0,0,0,0,,,
,,25 to 34,0,0,1,2,2,1,2,0,2,2,0,3,3,4,1,0,3,0,1,0,0,,,
,,35 to 44,0,3,2,3,2,2,2,4,4,7,8,6,2,9,3,3,0,2,1,0,0,,,
,,45 to 54,1,3,1,0,2,4,3,6,2,6,7,11,8,4,3,1,1,1,4,2,0,,,
,,55 and over,0,1,2,6,3,3,0,9,7,9,9,5,12,12,2,0,1,0,3,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Males,,,,,,,,,,,,,,,,,,,,,,,,
,,under 25,0,0,0,0,0,0,2,0,2,1,3,0,0,1,0,0,0,0,0,0,0,,,
,,25 to 34,0,0,0,1,1,0,1,0,1,2,0,1,2,3,1,0,2,0,1,0,0,,,
,,35 to 44,0,2,0,2,0,2,1,1,3,3,4,6,2,6,3,0,0,1,1,0,0,,,
,,45 to 54,0,1,1,0,0,1,3,2,2,2,4,4,4,4,1,1,1,0,2,0,0,,,
,,55 and over,0,0,2,3,1,3,0,3,3,5,5,2,7,6,1,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Females,,,,,,,,,,,,,,,,,,,,,,,,
,,under 25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,,,
,,25 to 34,0,0,1,1,1,1,1,0,1,0,0,2,1,1,0,0,1,0,0,0,0,,,
,,35 to 44,0,1,2,1,2,0,1,3,1,4,4,0,0,3,0,3,0,1,0,0,0,,,
,,45 to 54,1,2,0,0,2,3,0,4,0,4,3,7,4,0,2,0,0,1,2,2,0,,,
,,55 and over,0,1,0,3,2,0,0,6,4,4,4,3,5,6,1,0,1,0,3,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Broadly speaking, counting deaths on the basis of the classification of the drugs at the end of the latest year which is covered by the publication. Refer to Annex F for the full definition.",,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Broadly speaking, counting deaths on the basis of the classification of the drugs at the time of death. Refer to Annex A for the full definition.",,,,,,,,,,,,,,,,,,,,,,,,,,
3) These are deaths which are counted in the consistent series but are not counted in the standard definition.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
