Numbers for Figure 6 (linked to Table C5),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Drug-related deaths per 1,000 problem drug users (highest-lowest)",,,,,,,,,,,,,,,,,,,,
,,,,HENCE:,,,,,,,,,,,,,,,,
,Estimate,From,To,minus,plus,id,,,,,,,,,,,,,,
Na h-Eileanan Siar,32.00,22.86,40.00,9.14,8.00,1,,,,,,,,,,,,,,
Orkney Islands,26.67,16.00,40.00,10.67,13.33,2,,,,,,,,,,,,,,
Moray,25.19,19.43,32.38,5.76,7.20,3,,,,,,,,,,,,,,
Scottish Borders,21.57,18.33,24.44,3.24,2.88,4,,,,,,,,,,,,,,
Fife,17.14,15.48,19.20,1.66,2.06,5,,,,,,,,,,,,,,
Angus,16.50,14.04,18.86,2.46,2.36,6,,,,,,,,,,,,,,
Aberdeen City,16.25,15.00,17.73,1.25,1.48,7,,,,,,,,,,,,,,
Dundee City,16.17,15.50,16.91,0.67,0.74,8,,,,,,,,,,,,,,
South Ayrshire,15.74,13.45,17.41,2.29,1.67,9,,,,,,,,,,,,,,
Argyll & Bute,15.00,11.35,18.26,3.65,3.26,10,,,,,,,,,,,,,,
Highland,13.86,12.93,16.17,0.92,2.31,11,,,,,,,,,,,,,,
Falkirk,13.33,11.43,14.55,1.90,1.21,12,,,,,,,,,,,,,,
Dumfries & Galloway,13.27,11.23,15.53,2.04,2.26,13,,,,,,,,,,,,,,
Aberdeenshire,13.17,11.29,14.36,1.88,1.20,14,,,,,,,,,,,,,,
Scotland,12.74,12.39,13.08,0.35,0.34,15,,,,,,,,,,,,,,
Midlothian,12.63,9.90,14.77,2.73,2.14,16,,,,,,,,,,,,,,
West Lothian,12.62,11.71,14.91,0.90,2.29,17,,,,,,,,,,,,,,
City of Edinburgh,12.60,11.63,13.50,0.97,0.90,18,,,,,,,,,,,,,,
Glasgow City,12.37,11.50,13.26,0.87,0.89,19,,,,,,,,,,,,,,
North Ayrshire,12.25,10.89,13.07,1.36,0.82,20,,,,,,,,,,,,,,
West Dunbartonshire,12.18,9.57,14.26,2.61,2.07,21,,,,,,,,,,,,,,
Clackmannanshire,12.13,9.37,18.05,2.76,5.92,22,,,,,,,,,,,,,,
East Ayrshire,12.00,10.67,12.80,1.33,0.80,23,,,,,,,,,,,,,,
North Lanarkshire,11.94,10.49,13.03,1.46,1.09,24,,,,,,,,,,,,,,
Inverclyde,11.47,10.12,13.23,1.35,1.76,25,,,,,,,,,,,,,,
East Lothian,11.30,9.45,13.16,1.85,1.86,26,,,,,,,,,,,,,,
South Lanarkshire,10.75,9.15,11.94,1.60,1.19,27,,,,,,,,,,,,,,
Renfrewshire,10.52,8.88,11.83,1.64,1.31,28,,,,,,,,,,,,,,
Stirling,10.00,7.69,11.90,2.31,1.90,29,,,,,,,,,,,,,,
Shetland Islands,9.41,6.15,13.33,3.26,3.92,30,,,,,,,,,,,,,,
East Dunbartonshire,8.17,7.63,12.08,0.54,3.91,31,,,,,,,,,,,,,,
Perth & Kinross,6.93,5.78,8.00,1.16,1.07,32,,,,,,,,,,,,,,
East Renfrewshire,6.25,4.17,8.20,2.08,1.95,33,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,,
